name,sex,title_year,federation,flag
"Westerberg, Jonathan",M,2021,Sweden,se
"Annaberdiyev, Meylis",M,2022,Turkmenistan,tm
"Bailet, Pierre",M,2022,France,fr
"Blohberger, Felix",M,2022,Austria,at
"Brodsky, David",M,2022,United States,us
"Bryakin, Mikhail",M,2022,Russia,ru
"Cardoso Cardoso, Jose Gabriel",M,2022,Colombia,co
"Daggupati, Balaji",M,2022,United States,us
"Drašković, Luka",M,2022,Montenegro,me
"Drygalov, Sergey",M,2022,Russia,ru
"Fernandez, Daniel",M,2022,United States,us
"Gadimbayli, Abdulla",M,2022,Azerbaijan,az
"Galperin, Platon",M,2022,Ukraine,ua
"Gažík, Viktor",M,2022,Slovakia,sk
"Gines Esteo, Pedro Antonio",M,2022,Spain,es
"Haria, Ravi",M,2022,England,gb-eng
"Hauge, Lars Oskar",M,2022,Norway,no
"Huerga Leache, Mikel",M,2022,Spain,es
"Janik, Igor",M,2022,Poland,pl
"Kazakouski, Valery",M,2022,Lithuania,lt
"Lazavik, Denis",M,2022,Belarus,by
"Livaić, Leon",M,2022,Croatia,hr
"Lobanov, Sergei",M,2022,Russia,ru
Lê Tuấn Minh,M,2022,Vietnam,vn
"Matviishen, Viktor",M,2022,Ukraine,ua
"Mitrabha, Guha",M,2022,India,in
"Mousavi, Seyed Khalil",M,2022,Iran,ir
"Muradli, Mahammad",M,2022,Azerbaijan,az
"Murzin, Volodar",M,2022,Russia,ru
"Nikitenko, Mihail",M,2022,Belarus,by
"Peng, Li Min",M,2022,Ukraine,ua
"Petkov, Momchil",M,2022,Bulgaria,bg
"Petrov, Martin",M,2022,Bulgaria,bg
Pranav Anand,M,2022,India,in
"Pranav, V",M,2022,India,in
"Pähtz, Elisabeth",F,2022,Germany,de
"Quintiliano, Renato R.",M,2022,Brazil,br
Rahul Srivatshav P,M,2022,India,in
Raja Harshit,M,2022,India,in
Raja Rithvik R,M,2022,India,in
Sankalp Gupta,M,2022,India,in
"Schitco, Ivan",M,2022,Moldova,md
"Sochacki, Christophe",M,2022,France,fr
"Sosa, Tomas",M,2022,Argentina,ar
"Sturt, Raven",M,2022,United States,us
"Subramaniyam, Bharath",M,2022,India,in
"Svane, Frederik",M,2022,Germany,de
"Tin, Jingyao",M,2022,Singapore,sg
"Vernay, Clovis",M,2022,France,fr
"Vrolijk, Liam",M,2022,Netherlands,nl
"Vázquez, Guillermo",M,2022,Paraguay,py
"Yankelevich, Lev",M,2022,Germany,de
"Yoo, Christopher Woojin",M,2022,United States,us
"Yılmazyerli, Mert",M,2022,Turkey,tr
"Abdisalimov, Abdimalik",M,2023,Uzbekistan,uz
Aditya Mittal,M,2023,India,in
"Ahmad, Al Khatib",M,2023,Jordan,jo
"Ahmadzada, Ahmad",M,2023,Azerbaijan,az
"Atabayev, Yusup",M,2023,Turkmenistan,tm
"Avila Pavas, Santiago",M,2023,Colombia,co
"Beerdsen, Thomas",M,2023,Netherlands,nl
"Berdayes Ason, Dylan Isidro",M,2023,Cuba,cu
"Dai, Changren",M,2023,China,cn
"Daneshvar, Bardiya",M,2023,Iran,ir
"Das, Sayantan",M,2023,India,in
"Dudin, Gleb",M,2023,Hungary,hu
"Galyas, Miklós",M,2023,Hungary,hu
"Gavrilescu, David",M,2023,Romania,ro
"Gharibyan, Mamikon",M,2023,Armenia,am
"Gorshtein, Ido",M,2023,Israel,il
"Guo, Arthur",M,2023,United States,us
"Gökerkan, Cem Kaan",M,2023,Turkey,tr
"Ioannidis, Evgenios",M,2023,Greece,gr
"Kacharava, Nikolozi",M,2023,Georgia,ge
"Khanin, Semen",M,2023,Russia,ru
"Kourkoulos-Arditis, Stamatis",M,2023,Greece,gr
Koustav Chatterjee,M,2023,India,in
"Laurent-Paoli, Pierre",M,2023,France,fr
"Leenhouts, Koen",M,2023,Netherlands,nl
"Lubbe, Nikolas",M,2023,Germany,de
"Nigmatov, Ortik",M,2023,Uzbekistan,uz
"Ochsner, Bjorn Moller",M,2023,Denmark,dk
"Ohanyan, Emin",M,2023,Armenia,am
Peng Xiongjian,M,2023,China,cn
Pranesh M,M,2023,India,in
Prraneeth Vuppala,M,2023,India,in
"Samant, Aditya",M,2023,India,in
"Samunenkov, Ihor",M,2023,Ukraine,ua
"Song, Raymond",M,2023,Taiwan,tw
"Stefansson, Vignir Vatnar",M,2023,Iceland,is
"Suleymenov, Alisher",M,2023,Kazakhstan,kz
"Teclaf, Paweł",M,2023,Poland,pl
Vignesh N. R.,M,2023,India,in
Zhu Jiner,F,2023,China,cn
"Šubelj, Jan",M,2023,Slovenia,si
"Amar, Elham",M,2024,Norway,no
"Bogdanov, Egor",M,2024,Ukraine,ua
"Castellanos Rodriguez, Renier",M,2024,Spain,es
"Dückstein, Andreas",M,2024,Austria,at
"Erdoğmuş, Yağız Kaan",M,2024,Turkey,tr
"Escalante Ramírez, Brian",M,2024,Peru,pe
"Garriga Cazorla, Pere",M,2024,Spain,es
"Ghasi, Ameet K",M,2024,England,gb-eng
"Ghazarian, Kirk",M,2024,United States,us
"Gholami Orimi, Mahdi",M,2024,Iran,ir
"Girel, Joseph",M,2024,France,fr
"Grebnev, Aleksey",M,2024,Russia,ru
"Gürel, Ediz",M,2024,Turkey,tr
"Horvath, Dominik",M,2024,Austria,at
"Khan, Sultan",M,2024,Pakistan,pk
"Kraus, Tomáš",M,2024,Czech Republic,cz
"Lamard, Guillaume",M,2024,France,fr
"Madaminov, Mukhiddin",M,2024,Uzbekistan,uz
"Movahed, Sina",M,2024,Iran,ir
"Nei, Iivo",M,2024,Estonia,ee
"Nogerbek, Kazybek",M,2024,Kazakhstan,kz
"Parkhov, Yair",M,2024,Israel,il
"Quizon, Daniel",M,2024,Philippines,ph
"Rameshbabu, Vaishali",F,2024,India,in
"Rodrigue-Lemieux, Shawn",M,2024,Canada,ca
"Royal, Shreyas",M,2024,England,gb-eng
Shyaam Nikhil P,M,2024,India,in
"Siddharth, Jagadeesh",M,2024,Singapore,sg
"Sokolovsky, Yahli",M,2024,Israel,il
"Tiglon, Bryce",M,2024,United States,us
"Vetokhin, Savva",M,2024,FIDE,
"Vogel, Roven",M,2024,Germany,de
"Woodward, Andy",M,2024,United States,us
"Xiao, Tong",M,2024,China,cn
"Zemlyanskii, Ivan",M,2024,Russia,ru
"Zhalmakhanov, Ramazan",M,2024,Kazakhstan,kz
Aarav Dengla,M,2025,India,in
"Alexakis, Dimitris",M,2025,Greece,gr
"Assaubayeva, Bibisara",F,2025,Kazakhstan,kz
"Atabayev, Saparmyrat",M,2025,Turkmenistan,tm
"Bora, Safal",M,2025,United States,us
"Boyer, Mahel",M,2025,France,fr
"Can, Işık",M,2025,Turkey,tr
"Costa, Leonardo",M,2025,Germany,de
Divya Deshmukh,F,2025,India,in
"Druska, Juraj",M,2025,Slovakia,sk
"Galaviz Medina, Sion Radamantys",M,2025,Mexico,mx
"Hardaway, Brewington",M,2025,United States,us
Harikrishnan A. Ra.,M,2025,India,in
"Haring, Filip",M,2025,Slovakia,sk
"Heimann, Mark",M,2025,United States,us
"Holm, Kristian Stuvik",M,2025,Norway,no
"Kandil, Adham",M,2025,Egypt,eg
"Klimkowski, Jan",M,2025,Poland,pl
"Kosakowski, Jakub",M,2025,Poland,pl
"Koziak, Vitali",M,2025,Ukraine,ua
"Kramer, Julian",M,2025,Germany,de
"Kvaløy, Aksel Bu",M,2025,Norway,no
"Lashkin, Jegor",M,2025,Moldova,md
"Makarian, Rudik",M,2025,Russia,ru
"Maksimović, Bojan",M,2025,Bosnia and Herzegovina,ba
"Malek, Jan",M,2025,Poland,pl
"Mamedov, Edgar",M,2025,Kazakhstan,kz
"Noe, Christopher",M,2025,Germany,de
"Pang, Tao",M,2025,China,cn
"Pijpers, Arthur",M,2025,Netherlands,nl
Raahul V S,M,2025,India,in
Rohith Krishna S,M,2025,India,in
"Seemann, Jakub",M,2025,Poland,pl
Srihari L R,M,2025,India,in
"Szpar, Miłosz",M,2025,Poland,pl
"Tsaruk, Maksim",M,2025,Belarus,by
"Uskov, Artem",M,2025,FIDE,
"Wadsworth, Matthew",M,2025,England,gb-eng
"Xue, Haowen",M,2025,China,cn
"Yeoh, Li Tian",M,2025,Malaysia,my
"Zhao, Chenxi",M,2025,China,cn
Aaryan Varshney,M,2026,India,in
"Ansat, Aldiyar",M,2026,Kazakhstan,kz
"Chasin, Nico",M,2026,United States,us
"Davtyan, Artur",M,2026,Armenia,am
"Dehtiarov, Roman",M,2026,Ukraine,ua
"Deuer, Marius",M,2026,Germany,de
"Elias Reyes, Jorge Roberto",M,2026,Cuba,cu
Ilamparthi A R,M,2026,India,in
"Khubukshanov, Erdem",M,2026,FIDE,
"Kong, Xiangrui",M,2026,China,cn
"Ratković, Milovan",M,2026,Serbia,rs
"Shubin, Kirill",M,2026,FIDE,
"Tzidkiya, Yeshaayahu",M,2026,Israel,il
